No,Review
1287,Pengirimannya terlalu lama.... No rekomen deh
1288,hp rusak ga bs dipake sama sekali.
1289,Bintang yang menilai semua............
1290,Batteray hp tidak original dan batteray cepat habis atau cepat lowbet
1291,"Baterai baru sehari udh bau gosong ,,untung ga meledak ,,"
1292,"Produk buruk. Tidak bisa dipake, buang tempat sampah. Casing terbuka dan sim tidak bisa terbaca. Mending beli produk 2nd dari produk ini..."
1293,Tombol atas nya ga berfungsi
1294,Kualitasnya tidak sesuai dg merk nya
1295,"Barang rusak semua, hp china bener2 payah, sesuai harga kualitas jelek, maklum lah, harga beda 2x lipat dgn yg asli."
1296,"Beli 2 dan 1 nya gak bisa digunain, alias rusak..."
1297,Suara nya jelek bgd..nerima maupun telp..baterainya jg..gak d pake sehari habis..keypad nya jg susah
1298,Sangat kecewa
1299,Pengiriman cepat hanya hpx tdk bisa putar musik n tobol2x kurang bgs
1300,hp mati tidak bisa digunakan
1301,Barang ga bisa berfungsi dg baik.
1302,"Produk mengecewakan, kualitas barang jelek"
1303,"Beli 3 produk, 2 biji baterai nya bocor, 1 biji kaga bisa di charge, mao kirim balik , ongkir dll susah"
1304,"Baterai ngedropan tiap 6jam abis padahal cuman stand by,pketan isinya cuman HP&amp;CAS gk ada dusbook...."
1305,"Barang yg dikirim warna tidak sesuai dengan pemesanan, sangat tidak berkualitas"
1306,Beli 5 unit hp disini ga ada yg satupun yg bgus.. penjual bohong.. minta solusi.
1307,"Hp yg datang klo telfon ga ada suaranya,kecewa sekali"
1308,Produknya kw mudah rusak
1309,Barang banyak cacatnya dikomplain lambat nunggu abis garansinya pokoknya ga usah dibeli
1310,"Barang sampah bukan nokia ini, kalo jualan yg bener km... hpnya suka suka mati2 sendiri..."
1311,"Di deskripsi nya di tambahin &#34;barang replika&#34; biar gak kecewa pembeli nya.
 Tombol pada jemblos.
 Kecewa saya"
1312,"Baru 3 hari mati, mau retur gak direspon..
 Bukan nokia."
1313,"Pesen nya warna biru tapi di kirim warna hitam,untung cuma hp murah"
1314,Karuan beli produk china aja...barange parah enteng kya krupuk suara speaker parah.layar kya mainan bocah
1315,"Tidak sesuai dengan apa yg di terangkan
 Mirip kayak hp china"
1316,Terima kasih banyak ooo tapi barang gak ori
1317,"kacanya retak, kaya hp second"
1318,"Hp tidak bisa mengeluarkan suara dering, baterai drop.. jelekkk skali.. charger meledak"
1319,Gan knp setelah d pasang kartu hp gg nyala malah kedap kedip mulu
1320,"Jual barang KW, di keterangan ga di kasih keterangan barang KW.. Tau gitu ga jadi transfer deh.. Not recomended ğŸ‘"
1321,"Bluetooth ga bisa ketemu sama hp lain, ga bisa nemuin bluetooth hp lain. Menu musik ga bisa baca lagu yg ada di memori walau udh di refresh."
1322,"pesan warna merah ,,, dikirim warna biru , sangat mengecewakan !!!"
1323,"Hp ringkih gmpg rusak , antara hp Nokia atau replika"
1324,Koj batre nya boros banget yak. Ama sinyal gak muncul.
1325,Hp nya gampang mati sendiri &amp; saya tanya ternyata rekondisi. Cuma ganti kesing. Barangnya bukan ORI Nokia charger maupun baterainyağŸ˜” semoga sukses jualannyağŸ™?
1326,"baterai cepat habis, lampu keypad tidak nyala semua..."
1327,tidak seperti BNOB biasanya tapi lebih tepatnya SECOND habis pemakaian.. bener segel luarnya tapi dalemnya gak di perhatikan fisik hp berdebu dan dosbooknya kotor.. deskripsi dapat banyak acc nya mending dihapus aja gak guna soalnya gak dapet apa2.
